recv_time_sec,plan_stamp_sec,num_points,goal_x,goal_y,goal_z
1775567273.424012423,1775567273.423299789,23,-2.000000000,-2.000000000,5.000000000
1775567273.522682905,1775567273.521817684,23,-2.000000000,-2.000000000,5.000000000
1775567273.633309841,1775567273.632341385,22,-2.000000000,-2.000000000,5.000000000
1775567273.734748602,1775567273.733877659,22,-2.000000000,-2.000000000,5.000000000
1775567273.832816839,1775567273.832179070,21,-2.000000000,-2.000000000,5.000000000
1775567273.936867237,1775567273.935847282,21,-2.000000000,-2.000000000,5.000000000
1775567274.047462463,1775567274.044257641,20,-2.000000000,-2.000000000,5.000000000
1775567274.136411905,1775567274.134807825,20,-2.000000000,-2.000000000,5.000000000
1775567274.237963915,1775567274.237213850,19,-2.000000000,-2.000000000,5.000000000
1775567274.336205482,1775567274.335426807,19,-2.000000000,-2.000000000,5.000000000
1775567274.438127279,1775567274.437316418,18,-2.000000000,-2.000000000,5.000000000
1775567274.542076588,1775567274.541170359,18,-2.000000000,-2.000000000,5.000000000
1775567274.644819021,1775567274.643904924,17,-2.000000000,-2.000000000,5.000000000
1775567274.744469166,1775567274.743402243,16,-2.000000000,-2.000000000,5.000000000
1775567274.844136715,1775567274.843053341,16,-2.000000000,-2.000000000,5.000000000
1775567274.945983887,1775567274.944862366,16,-2.000000000,-2.000000000,5.000000000
1775567275.053309202,1775567275.052358389,15,-2.000000000,-2.000000000,5.000000000
1775567275.147132158,1775567275.146403074,14,-2.000000000,-2.000000000,5.000000000
1775567275.247884989,1775567275.247280836,14,-2.000000000,-2.000000000,5.000000000
1775567275.350024462,1775567275.349439859,13,-2.000000000,-2.000000000,5.000000000
1775567275.451887608,1775567275.449236870,13,-2.000000000,-2.000000000,5.000000000
1775567275.551163673,1775567275.550533772,12,-2.000000000,-2.000000000,5.000000000
1775567275.657729387,1775567275.657012224,12,-2.000000000,-2.000000000,5.000000000
1775567275.759175777,1775567275.758511543,11,-2.000000000,-2.000000000,5.000000000
1775567275.860231876,1775567275.859545469,11,-2.000000000,-2.000000000,5.000000000
1775567275.959047318,1775567275.958279848,10,-2.000000000,-2.000000000,5.000000000
1775567276.065968513,1775567276.064942598,10,-2.000000000,-2.000000000,5.000000000
1775567276.168968201,1775567276.168306112,9,-2.000000000,-2.000000000,5.000000000
1775567276.266089439,1775567276.265445709,9,-2.000000000,-2.000000000,5.000000000
1775567276.368756294,1775567276.364468813,8,-2.000000000,-2.000000000,5.000000000
1775567276.465848446,1775567276.465172768,8,-2.000000000,-2.000000000,5.000000000
1775567276.564835072,1775567276.564215660,7,-2.000000000,-2.000000000,5.000000000
1775567276.665672302,1775567276.665225744,6,-2.000000000,-2.000000000,5.000000000
1775567276.775109768,1775567276.774303198,6,-2.000000000,-2.000000000,5.000000000
1775567276.875468493,1775567276.874921560,6,-2.000000000,-2.000000000,5.000000000
1775567276.977566719,1775567276.976740360,5,-2.000000000,-2.000000000,5.000000000
1775567277.076995850,1775567277.076583385,4,-2.000000000,-2.000000000,5.000000000
1775567277.179861784,1775567277.179362297,4,-2.000000000,-2.000000000,5.000000000
1775567277.279105425,1775567277.278720856,4,-2.000000000,-2.000000000,5.000000000
1775567277.384785891,1775567277.380523920,35,1.243000000,-0.608000095,5.000000000
1775567277.481446743,1775567277.479886293,35,1.243000000,-0.608000095,5.000000000
1775567277.588243961,1775567277.586805582,38,1.443000286,-0.657999809,5.000000000
1775567277.687977791,1775567277.686538935,38,1.443000286,-0.657999809,5.000000000
1775567277.789270163,1775567277.786679983,38,1.443000286,-0.657999809,5.000000000
1775567277.888371706,1775567277.886799574,38,1.443000286,-0.657999809,5.000000000
1775567277.990461826,1775567277.989059925,38,1.443000286,-0.657999809,5.000000000
1775567278.093642712,1775567278.088967085,38,1.443000286,-0.657999809,5.000000000
1775567278.194276810,1775567278.192830563,38,1.443000286,-0.657999809,5.000000000
1775567278.295122862,1775567278.293946505,38,1.443000286,-0.657999809,5.000000000
1775567278.395185232,1775567278.393980265,38,1.443000286,-0.657999809,5.000000000
1775567278.499459028,1775567278.498291016,38,1.443000286,-0.657999809,5.000000000
1775567278.601745367,1775567278.600979805,38,1.643000095,-0.657999809,5.000000000
1775567278.707584620,1775567278.705936432,38,1.643000095,-0.657999809,5.000000000
1775567278.813913345,1775567278.812522411,38,1.643000095,-0.657999809,5.000000000
1775567278.910775900,1775567278.909565210,38,1.643000095,-0.657999809,5.000000000
1775567279.011710644,1775567279.008691311,38,1.643000095,-0.657999809,5.000000000
1775567279.110826254,1775567279.109838724,38,1.643000095,-0.657999809,5.000000000
1775567279.223497391,1775567279.221178293,38,1.643000095,-0.657999809,5.000000000
1775567279.330749750,1775567279.329264879,38,1.643000095,-0.657999809,5.000000000
1775567279.430364132,1775567279.428853750,38,1.643000095,-0.657999809,5.000000000
1775567279.532829046,1775567279.529377460,38,1.643000095,-0.657999809,5.000000000
1775567279.630224943,1775567279.628860474,36,1.893000095,-0.657999809,5.000000000
1775567279.735139370,1775567279.733743191,36,1.893000095,-0.657999809,5.000000000
1775567279.834426880,1775567279.833510399,36,1.893000095,-0.657999809,5.000000000
1775567279.944333076,1775567279.941401005,36,1.893000095,-0.657999809,5.000000000
1775567280.049433470,1775567280.048017740,36,1.893000095,-0.657999809,5.000000000
1775567280.147306681,1775567280.145994902,33,1.893000095,-0.657999809,5.000000000
1775567280.264622927,1775567280.263226986,32,1.893000095,-0.657999809,5.000000000
