recv_time_sec,plan_stamp_sec,num_points,goal_x,goal_y,goal_z
1775398503.959227562,1775398503.958486795,31,1.943000286,-0.657999809,5.000000000
1775398504.063964367,1775398504.063129425,27,1.943000286,-0.657999809,5.000000000
1775398504.165514469,1775398504.164438486,26,1.943000286,-0.657999809,5.000000000
1775398504.267277241,1775398504.266659498,26,1.943000286,-0.657999809,5.000000000
1775398504.363899231,1775398504.363157511,25,1.943000286,-0.657999809,5.000000000
1775398504.465590954,1775398504.464956760,24,1.943000286,-0.657999809,5.000000000
1775398504.565344572,1775398504.564620018,24,2.143000095,-0.708000000,5.000000000
1775398504.667248964,1775398504.666603804,23,2.143000095,-0.708000000,5.000000000
1775398504.767572641,1775398504.766534328,22,2.143000095,-0.708000000,5.000000000
1775398504.866800308,1775398504.865960836,22,2.143000095,-0.708000000,5.000000000
1775398504.966553450,1775398504.965709686,21,2.143000095,-0.708000000,5.000000000
1775398505.065207481,1775398505.064610958,17,2.143000095,-0.708000000,5.000000000
1775398505.168713808,1775398505.167262554,17,2.143000095,-0.708000000,5.000000000
1775398505.267430544,1775398505.266640902,16,2.143000095,-0.708000000,5.000000000
1775398505.366771936,1775398505.365952730,15,2.143000095,-0.708000000,5.000000000
1775398505.466109753,1775398505.465321302,14,2.143000095,-0.708000000,5.000000000
1775398505.566933870,1775398505.566167355,14,2.343000381,-0.708000000,5.000000000
1775398505.668514252,1775398505.667608500,13,2.343000381,-0.708000000,5.000000000
1775398505.767709732,1775398505.767124891,12,2.343000381,-0.708000000,5.000000000
1775398505.872457504,1775398505.871823549,11,2.343000381,-0.708000000,5.000000000
1775398505.968012810,1775398505.967458248,11,2.343000381,-0.708000000,5.000000000
1775398506.068843603,1775398506.068237066,8,2.343000381,-0.708000000,5.000000000
1775398506.168459892,1775398506.167765379,7,2.343000381,-0.708000000,5.000000000
1775398506.268669605,1775398506.268088341,6,2.343000381,-0.708000000,5.000000000
1775398506.372652054,1775398506.372106314,5,2.343000381,-0.708000000,5.000000000
1775398506.476241827,1775398506.475678205,5,2.343000381,-0.708000000,5.000000000
1775398506.575016022,1775398506.574516296,4,2.593000381,-0.708000000,5.000000000
1775398506.676939726,1775398506.674755335,50,1.000000000,4.000000000,5.000000000
1775398506.776418924,1775398506.774643898,50,1.000000000,4.000000000,5.000000000
1775398506.876248837,1775398506.874219418,50,1.000000000,4.000000000,5.000000000
1775398506.975107431,1775398506.973856926,50,1.000000000,4.000000000,5.000000000
1775398507.075827360,1775398507.074860811,49,1.000000000,4.000000000,5.000000000
1775398507.175270081,1775398507.173527002,50,1.000000000,4.000000000,5.000000000
1775398507.276140451,1775398507.274248362,50,1.000000000,4.000000000,5.000000000
1775398507.376283646,1775398507.374747276,50,1.000000000,4.000000000,5.000000000
1775398507.475458384,1775398507.474492550,50,1.000000000,4.000000000,5.000000000
1775398507.579295635,1775398507.577943563,48,1.000000000,4.000000000,5.000000000
1775398507.680165768,1775398507.677281857,48,1.000000000,4.000000000,5.000000000
1775398507.779060841,1775398507.776731014,48,1.000000000,4.000000000,5.000000000
1775398507.878510714,1775398507.876817942,48,1.000000000,4.000000000,5.000000000
1775398507.981313467,1775398507.979859829,48,1.000000000,4.000000000,5.000000000
1775398508.080666065,1775398508.078901291,47,1.000000000,4.000000000,5.000000000
1775398508.179641962,1775398508.178735495,47,1.000000000,4.000000000,5.000000000
1775398508.282158136,1775398508.280706406,47,1.000000000,4.000000000,5.000000000
1775398508.380770206,1775398508.379882097,47,1.000000000,4.000000000,5.000000000
1775398508.481935740,1775398508.480442524,47,1.000000000,4.000000000,5.000000000
1775398508.585355043,1775398508.583835363,44,1.000000000,4.000000000,5.000000000
1775398508.688765526,1775398508.687408209,43,1.000000000,4.000000000,5.000000000
1775398508.786221743,1775398508.784617901,43,1.000000000,4.000000000,5.000000000
1775398508.885522842,1775398508.884657145,43,1.000000000,4.000000000,5.000000000
1775398508.987090111,1775398508.985575199,43,1.000000000,4.000000000,5.000000000
1775398509.089449883,1775398509.088113308,41,1.000000000,4.000000000,5.000000000
1775398509.188903093,1775398509.187686205,41,1.000000000,4.000000000,5.000000000
1775398509.288959742,1775398509.287381411,41,1.000000000,4.000000000,5.000000000
1775398509.388165236,1775398509.387106419,41,1.000000000,4.000000000,5.000000000
1775398509.487226486,1775398509.486140728,40,1.000000000,4.000000000,5.000000000
